id,name,designation,greek,constellation,search,wikistatus,ra1,ra2,ra3,dec1,dec2,dec3,ra,dec,appmag_v,class,mass,radius,text,xrefs,ra_cat,dec_cat,hip,hd,bs,distance,appmag,absmag,spectrum,colourindex
1,ACAMAR,,,Eridani,"Theta Eridani",cache,2,58,15.67525,-40,18,16.8524,0.7778114535,-0.7034493913,3.2,A3IV-V,2.6,,"Bleak, white binary pair, the members of which have not spoken for five gigayears.",,2.97103212,-40.30473491,13847,18622,,49.4559841740851,2.88,-0.591094243725088,A4III+...,0.128
2,ACHERNAR,,,Eridani,"Alpha Eridani",cache,1,37,42.84548,-57,14,12.3101,0.4263581548,-0.9989697896,0.5,"B6 Vep","6–8",,"Held by Yule to be a line-of-sight cognate of ACAMAR, which led to the rediscovery and abandonment of Old Earth.",,1.62854213,-57.23666007,7588,10144,,44.0917107583774,0.45,-2.77178474889566,B3Vp,-0.158
3,ACRUX,,,Crucis,"Alpha Crucis",cache,12,26,35.89522,-63,5,56.7343,3.257649429,-1.1012869254,0.77,"B0.5IV + B1V","14 / 10 ",,"A hot, blue-white binary with a characteristic Tropicália spectrum, expected to end its life in a bossa nova.",,0.09467993,44.46868671,474,72,,142.857142857143,8.36,2.58549020007128,A0,0.247
4,ACUBENS,,,Cancri,"Alpha Cancri",cache,8,58,29.2217,11,51,27.723,2.3495929059,0.2069559213,4.2,A5m,2,,"A rare ""white blood star"" or stellar phage, part of the Galaxy's immune defence system. Not to be approached.",,0.42186861,32.50352913,1997,,,204.498977505112,8.78,2.2265442956181,F0,0.539
5,ADHARA,,,"Canis Majoris","Epsilon Canis Majoris",cache,6,58,37.6,-28,58,19,1.8266034175,-0.5056558213,1.51,B,"12.6 ± 1.0",,"Blue star with high ultraviolet emissions, sacred to dinosaurs.",,6.9770963,-28.97208931,33579,52089,,132.100396301189,1.50,-4.10452060249964,B2II,-0.211
6,ADHIL,,,Andromedae,"Xi Andromedae",cache,1,22,20.41924,45,31,43.6003,0.3592774257,0.7946270781,4.9,"K0 IIIb",2.5,,"Orange giant, its appearance was compared by Herschel to that of ""a giant Orange"".",,1.37233139,45.52875660,6411,8207,,59.9520383693046,4.87,0.9809802315086,K0III-IV,1.077
7,AIN,,,Tauri,"Epsilon Tauri",cache,4,28,37,19,10,49.5,1.1720613148,0.3347614227,3.53,K0III,"2.7 ± 0.1",,"Mature, unblinking star with the disquieting property of seeming to ""follow"" the observer around the Galaxy.",,4.47692591,19.18052092,20889,28305,,47.5285171102662,3.53,0.145228677408507,K0III,1.014
8,"AL BALI",,,Aquarii,"Epsilon Aquarii",cache,20,47,40.5526,-9,29,44.7877,5.4440130114,-0.1657325276,3.77,"A1 V"," ",,"White star surrounded by a disk of debris, suggesting the hypothesis that it is inhabited by five-year-olds.",,20.79459238,-09.49568988,102618,198001,,70.3729767769177,3.78,-0.45702961036265,A1V,0.000
9,"AL HURR",,,Aurigae,"Lambda Aurigae",cache,5,19,8.4742,40,5,56.5826,1.3925163397,0.699860462,4.71,"G1 V",1.081{{+-,,"This G-type star's spectrum shows enhanced levels of manganese, zinc, thiamine and soluble fibre.",,5.31891066,40.10066732,24813,34411,,12.6454223571067,4.69,4.18033330320817,G0V,0.630
10,"AL KALB AL RAI",,,Cephei,"Rho2 Cephei",cache,22,29,52.9,78,49,27,5.8899698989,1.3757412385,5.5,"A3 V",,,"Pretentious A-class star, though to have been moved into line with ρ¹ Cephei as part of a real-estate scam.",,22.49804671,78.82433733,111056,213798,,72.7272727272727,5.45,1.14151349083141,A3V,0.093
11,"AL KALBAIN",,,Tauri,"Kappa Tauri",cache,4,25,22.1,22,17,38,1.1578877868,0.3891017642,4.21,A,,,"Capital star of the Hyades cluster, esteemed for its cultured and diligent bureaubots.",,4.42280521,22.29398098,20635,27934,,47.0145745181006,4.21,0.848837449513645,A7IV-V,0.136
12,"AL KURUD",,,Columbae,"Theta Columbae",cache,6,7,31.6328,-37,15,10.513,1.6036399908,0.6501861148,4.993,B,,,"Chief of the Apes, a group of stars in the process of budding from a common ancestor.",,6.12545336,-37.25292114,29034,42167,,233.644859813084,5.00,-1.84278115493414,B8:IV,-0.095
13,"AL MAAZ",,,Aurigae,"Epsilon Aurigae",cache,5,1,58.13245,43,49,23.9059,1.3175877732,0.7648609997,2.98,"F0 Iab (or II-III",2.2-15,,"Victim of an interest cascade, its unusual eclipses caused by clouds of probes sent to investigate its unusual eclipses.",,5.032815,43.82331397,23416,31964,,625,3.03,-5.94940008672038,F0Ia,0.537
