id,name,constellation,search,wikistatus,ra,dec,Hipparcos,Draper,BrightStar,hascat,s0_absmag_v,s0_appmag_v,s0_class,s0_constell,s0_dist_ly,s0_dist_pc,s0_gravity,s0_luminosity,s0_mass,s0_metal_fe,s0_parallax,s0_radial_v,s0_radius,s0_rotational_velocity,s0_temperature,s0_variable,s1_absmag_v,s1_appmag_v,s1_class,s1_constell,s1_dist_ly,s1_dist_pc,s1_gravity,s1_luminosity,s1_mass,s1_metal_fe,s1_parallax,s1_radial_v,s1_radius,s1_rotational_velocity,s1_temperature,s1_variable,s2_absmag_v,s2_appmag_v,s2_class,s2_constell,s2_dist_ly,s2_dist_pc,s2_gravity,s2_luminosity,s2_mass,s2_metal_fe,s2_parallax,s2_radial_v,s2_radius,s2_rotational_velocity,s2_temperature,s2_variable,s3_absmag_v,s3_appmag_v,s3_class,s3_constell,s3_dist_ly,s3_dist_pc,s3_gravity,s3_luminosity,s3_mass,s3_metal_fe,s3_parallax,s3_radial_v,s3_radius,s3_rotational_velocity,s3_temperature,s3_variable,s4_absmag_v,s4_appmag_v,s4_class,s4_constell,s4_dist_ly,s4_dist_pc,s4_gravity,s4_luminosity,s4_mass,s4_metal_fe,s4_parallax,s4_radial_v,s4_radius,s4_rotational_velocity,s4_temperature,s4_variable,s5_absmag_v,s5_appmag_v,s5_class,s5_constell,s5_dist_ly,s5_dist_pc,s5_gravity,s5_luminosity,s5_mass,s5_metal_fe,s5_parallax,s5_radial_v,s5_radius,s5_rotational_velocity,s5_temperature,s5_variable,s6_absmag_v,s6_appmag_v,s6_class,s6_constell,s6_dist_ly,s6_dist_pc,s6_gravity,s6_luminosity,s6_mass,s6_metal_fe,s6_parallax,s6_radial_v,s6_radius,s6_rotational_velocity,s6_temperature,s6_variable,s7_absmag_v,s7_appmag_v,s7_class,s7_constell,s7_dist_ly,s7_dist_pc,s7_gravity,s7_luminosity,s7_mass,s7_metal_fe,s7_parallax,s7_radial_v,s7_radius,s7_rotational_velocity,s7_temperature,s7_variable,s8_absmag_v,s8_appmag_v,s8_class,s8_constell,s8_dist_ly,s8_dist_pc,s8_gravity,s8_luminosity,s8_mass,s8_metal_fe,s8_parallax,s8_radial_v,s8_radius,s8_rotational_velocity,s8_temperature,s8_variable,s9_absmag_v,s9_appmag_v,s9_class,s9_constell,s9_dist_ly,s9_dist_pc,s9_gravity,s9_luminosity,s9_mass,s9_metal_fe,s9_parallax,s9_radial_v,s9_radius,s9_rotational_velocity,s9_temperature,s9_variable
1,ACAMAR,Eridani,Theta Eridani,cache,0.7778114535,-0.7034493913,13847,16754,897,yes,0.44,3.2,A3IV-V,[[Eridanus (constellation),,,,96,2.6,,20.23,11.9,16,70,8200,suspected,,,,,,,,36,,,,,,,9200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ACHERNAR,Eridani,Alpha Eridani,cache,0.4263581548,-0.9989697896,7588,10144,1,yes, ,0.445,B6 Vep,[[Eridanus (constellation),,,3.5,3150,6–8, ,23.39,16,7.3 × 11.4,250,"~15,000",Lambda Eridani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ACRUX,Crucis,Alpha Crucis,cache,3.257649429,-1.1012869254,60718,108248,,yes,-4.14,0.77,B0.5IV + B1V,[[Crux]],,,,25000,14 / 10 , ,10.13,–11.2 / -0.6, ,124,28000, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ACUBENS,Cancri,Alpha Cancri,cache,2.3495929059,0.2069559213,440066,,,yes,0.6,4.20 to 4.27,A5m,[[Cancer (constellation),,,,23,2,,18.79,−13.8 ± 2,1,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ADHARA,Canis Majoris,Epsilon Canis Majoris,cache,1.8266034175,-0.5056558213,33579,63032,,yes,–4.11,1.5,B2 II,[[Canis Major]],,,3.31,38700,12.6 ± 1.0,,7.57,27.3,13.9,,22200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ADHIL,Andromedae,Xi Andromedae,cache,0.3592774257,0.7946270781,6411,8207,17,yes,0.55,4.9,K0 IIIb,[[Andromeda (constellation),,,2.8,45.7,2.5,0.03,15.21,–12.59,10,0,4656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AIN,Tauri,Epsilon Tauri,cache,1.1720613148,0.3347614227,20889,28305,1409,yes,,3.53,K0III,[[Taurus (constellation),,,,97 ± 8,2.7 ± 0.1,,22.24, ,12.692 ± 0.545 ,,4901 ± 20, ,,,,,,,,,>7.6 (± 0.2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AL BALI,Aquarii,Epsilon Aquarii,cache,5.4440130114,-0.1657325276,102618,198001,7950,yes,,3.77,A1 V,[[Aquarius (constellation),,,3.64, , ,0.07,15.7,–16, ,70,9470,Suspected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AL HURR,Aurigae,Lambda Aurigae,cache,1.3925163397,0.699860462,24813,34411,1729,yes, ,4.71,G1 V,[[Auriga (constellation),,,4.02,1.732 ± 0.022,1.081{{+-,0.01,79.17,66.5,1.331 ± 0.021,2,"5,890 ± 4.3", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AL KALB AL RAI,Cephei,Rho2 Cephei,cache,5.8899698989,1.3757412385,111056,213798,,yes,1.19,5.5,A3 V,[[Cepheus (constellation),237,73,,,,,13.75,1,,,,None ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,AL KALBAIN,Tauri,Kappa Tauri,cache,1.1578877868,0.3891017642,20635,27934,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,AL KURUD,Columbae,Theta Columbae,cache,1.6036399908,0.6501861148,29034,42167,2177,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
