id,name,designation,greek,constellation,search,wikistatus,ra1,ra2,ra3,dec1,dec2,dec3,ra,dec,appmag_v,class,mass,radius,text
24,ALATHFAR,,,Lyrae,Mu Lyrae,No coords,18,24,13.8,39,30,26,,,5.12,A,,,"The so-called ""Siren Star"", swarms with dragons who find its hard gamma spectrum irresistible."
29,ALDAFAR,,,Lyrae,Eta Lyrae,No coords,19,13,45.5,39,8,46,,,4.39,B,,,Believed to be the image of ALATHFAR (μ Lyrae) in a reflective nebula.
58,ALTERF,,,Leonis,Lambda Leonis,No coords,9,31,43.24,22,58,5.036,,,4.32,K,,,"K-giant, whose inhabitants worship reason and are involved in a bitter conflict with those of β Cancri (the ""Terf Wars"")"
65,ANGETENAR,,,Eridani,Tau2 Eridani,No coords,2,51,2.3,-21,0,15,,,4.75,K,,,"Not to be confused with τ¹, τ³, τ⁴, τ⁵, τ⁶, τ⁷, τ⁸ or τ⁹ Eridani, which were cloned from it in a replicator outbreak."
90,AZELFAFAGE,,,Cygni,Pi1 Cygni,No coords,21,42,5.6,51,11,23,,,4.67,B,,,"Intermittently variable star with high velocity, trailing behind it a series of expanding nebulae or ""faffs""."
91,AZHA,,,Eridani,Eta Eridani,No coords,2,56,25.7,-8,53,53,,,4.1,K,,,"Beguiling object referred to in ancient songs as the ""Double Helix"". A mature star which has commenced jazz fusion."
97,BEID,,,Eridani,Omicron1 Eridani,No coords,4,11,51.936,-6,50,15.29,,,4.04,F,,,"Home system of the poet Kem, its native idioms are used Galaxy-wide, for reasons as beid as the tholes on one's snowth."
124,DABIH MAJOR,,,Capricorni,Beta1 Capricorni,No coords,20,21,0.7,-14,46,53,,,3.05,K,,,"Has a complicated spectrum showing features typical of K-giants, B-dwarfs and halogen downlighting."
125,DABIH MINOR,,,Capricorni,Beta2 Capricorni,No coords,20,21,0.7,-14,46,53,,,6.09,A,,,"Bright A-type giant with elevated levels of zinc and manganese, indicating a healthy immune system."
133,DENEB KAITOS SHEMALI,,,Ceti,Iota Ceti,No coords,0,19,25.665,-8,49,25.98,,,3.56,K,,,K-dwarf settled by migrants from DENEB KAITOS who believed that the latter was about to become a supernova.
141,DZIBAIN,,,Draconis,Psi1 Draconis,No coords,17,41,58.2,72,9,11,,,4.59,F,,,Binary star orbited by a beige dwarf just massive enough to sustain classical fusion.
