id,name,designation,greek,constellation,search,wikistatus,ra1,ra2,ra3,dec1,dec2,dec3,ra,dec,appmag_v,class,mass,radius,text
1,ACAMAR,,,Eridani,Theta Eridani,cache,2,58,15.67525,-40,18,16.8524,0.7778114535,-0.7034493913,3.2,A3IV-V,2.6,,"Bleak, white binary pair, the members of which have not spoken for five gigayears."
2,ACHERNAR,,,Eridani,Alpha Eridani,cache,1,37,42.84548,-57,14,12.3101,0.4263581548,-0.9989697896,0.5,B6 Vep,6–8,,"Held by Yule to be a line-of-sight cognate of ACAMAR, which led to the rediscovery and abandonment of Old Earth."
3,ACRUX,,,Crucis,Alpha Crucis,cache,12,26,35.89522,-63,5,56.7343,3.257649429,-1.1012869254,0.77,B0.5IV + B1V,14 / 10 ,,"A hot, blue-white binary with a characteristic Tropicália spectrum, expected to end its life in a bossa nova."
4,ACUBENS,,,Cancri,Alpha Cancri,cache,8,58,29.2217,11,51,27.723,2.3495929059,0.2069559213,4.2,A5m,2,,"A rare ""white blood star"" or stellar phage, part of the Galaxy's immune defence system. Not to be approached."
5,ADHARA,,,Canis Majoris,Epsilon Canis Majoris,cache,6,58,37.6,-28,58,19,1.8266034175,-0.5056558213,1.51,B,12.6 ± 1.0,,"Blue star with high ultraviolet emissions, sacred to dinosaurs."
6,ADHIL,,,Andromedae,Xi Andromedae,cache,1,22,20.41924,45,31,43.6003,0.3592774257,0.7946270781,4.9,K0 IIIb,2.5,,"Orange giant, its appearance was compared by Herschel to that of ""a giant Orange""."
7,AIN,,,Tauri,Epsilon Tauri,cache,4,28,37,19,10,49.5,1.1720613148,0.3347614227,3.53,K0III,2.7 ± 0.1,,"Mature, unblinking star with the disquieting property of seeming to ""follow"" the observer around the Galaxy."
8,AL BALI,,,Aquarii,Epsilon Aquarii,cache,20,47,40.5526,-9,29,44.7877,5.4440130114,-0.1657325276,3.77,A1 V, ,,"White star surrounded by a disk of debris, suggesting the hypothesis that it is inhabited by five-year-olds."
9,AL HURR,,,Aurigae,Lambda Aurigae,cache,5,19,8.4742,40,5,56.5826,1.3925163397,0.699860462,4.71,G1 V,1.081{{+-,,"This G-type star's spectrum shows enhanced levels of manganese, zinc, thiamine and soluble fibre."
10,AL KALB AL RAI,,,Cephei,Rho2 Cephei,cache,22,29,52.9,78,49,27,5.8899698989,1.3757412385,5.5,A3 V,,,"Pretentious A-class star, though to have been moved into line with ρ¹ Cephei as part of a real-estate scam."
11,AL KALBAIN,,,Tauri,Kappa Tauri,cache,4,25,22.1,22,17,38,1.1578877868,0.3891017642,4.21,A,,,"Capital star of the Hyades cluster, esteemed for its cultured and diligent bureaubots."
12,AL KURUD,,,Columbae,Theta Columbae,cache,6,7,31.6328,37,15,10.513,1.6036399908,0.6501861148,4.993,B,,,"Chief of the Apes, a group of stars in the process of budding from a common ancestor."
13,AL MAAZ,,,Aurigae,Epsilon Aurigae,cache,5,1,58.13245,43,49,23.9059,1.3175877732,0.7648609997,2.98,F0 Iab (or II-III,2.2-15,,"Victim of an interest cascade, its unusual eclipses caused by clouds of probes sent to investigate its unusual eclipses."
14,AL MINCHIR AL ASAD,,,Leonis,Kappa Leonis,cache,9,24,39.2591,26,10,56.367,2.4637692476,0.4569677625,4.473,K2III,,,"K-type dwarf, companion with biosphere spectral fingerprint VBR9188EA5F (""dinosaur planet"")"
15,AL NAIR,,,Gruis,Alpha Gruis,cache,22,8,13.98473,-46,57,39.5078,5.7955101149,-0.819623623,1.74,B6 V,4,,"Smooth A-type star, free from superfluous prominences."
16,AL NASL,,,Sagittarii,Gamma Sagittarii,cache,18,5,48.4881,-30,25,26.7235,4.7377317502,-0.53100054,2.98,K1 III,,,"K-type giant used as a staging host (""the Arrow's Tip"") by the stellar alchemists."
17,AL NIYAT,,,Scorpii,Sigma Scorpii,cache,16,21,11.31571,-25,35,34.0515,4.2812428922,-0.4466784866,2.88,B1 III,"18.4 ± 5.4,",,"Triple star, companion with biosphere spectral fingerprint OOO566AA012 (""ghost planet"")"
18,AL RISCHA,,,Piscium,Alpha Piscium,cache,2,2,2.81972,2,45,49.541,0.5325304777,0.048236736,3.82,A,,,"Steam star, created in the twenty-first cosmic year by a now-vanished race of host plasms."
19,AL SHARAS,,,Crateris,Beta Crateris,cache,11,11,39.5,22,49,33,2.9306623413,0.3983859462,4.48,A,,,"White giant star, home to a species of sessile, multi-eyed sentient plants, the β Crater Potaters."
20,AL SUHAIL AL MUHLIF,,,Velorum,Lambda Velorum,cache,9,7,59.75787,-43,25,57.3273,2.391083467,-0.7580417142,2.23,K4.5 Ib-II,8.5 ± 0.3,,"Irregular variable which has used up the hydrogen in its core, expanded, and, frankly, let itself go."
21,AL THALIMAIN POSTERIOR,,,Aquilae,Iota Aquilae,cache,19,36,43.27606,-1,17,11.7611,5.1344151248,-0.0224554115,4.364,B5 III,4.8 ± 0.3,,"Immense, fluffy star, prized for its beautiful feathery prominences, once hunted to near-extinction."
22,AL THALIMAIN PRIOR,,,Aquilae,Lambda Aquilae,cache,19,6,14.93898,-4,52,57.2007,5.0014547002,-0.0852166737,3.43,B9Vn,3.1{{+-,,"Furiously rotating blue dwarf star, obscured by dense clouds of silicon."
23,ALAMAK,,,Andromedae,Gamma Andromedae,cache,2,3,53.9531,42,19,47.009,0.5406123251,0.7387930679,2.15,K3IIb,,,"Quadruple system, early member of the Skein, an unpopular hard-wired galactic communications network."
24,ALATHFAR,,,Lyrae,Mu Lyrae,No coords,18,24,13.8,39,30,26,,,5.12,A,,,"The so-called ""Siren Star"", swarms with dragons who find its hard gamma spectrum irresistible."
25,ALBIREO,,,Cygni,Beta Cygni,cache,19,30,45.3954,27,57,54.995,5.1083893087,0.4880861492,5.09,B8Ve,3.3,,It is not known whether the components of this orange-blue binary are truly orbiting or if they are just good friends.
26,ALCHIBA,,,Corvi,Alpha Corvi,cache,12,8,24.8,-24,43,44,3.1783027455,-0.4316005315,4,F2 IV,1.2,,"White, moderate star with companion bearing biosphere spectral fingerprint GBS1AAF6563 (""utopia (toga) planet"")"
27,ALCOR,,,Ursae Majoris,80 Ursae Majoris,cache,13,23,55.5,54,55,31,3.5077845473,0.9586269398,2.23,A2 V/A2 V/A1 V ,,,"Hemispherical star, left incomplete for three cosmic years due to a zoning dispute."
28,ALCYONE,,,Tauri,Eta Tauri,cache,3,47,29.0765,24,6,18.494,0.9925888533,0.4207140112,2.873,B7IIIe,6,,"Beautiful blue giant surrounded by a circumstellar gas disk, three dwarf companions and a herbaceous border."
29,ALDAFAR,,,Lyrae,Eta Lyrae,No coords,19,13,45.5,39,8,46,,,4.39,B,,,Believed to be the image of ALATHFAR (μ Lyrae) in a reflective nebula.
