id,name,designation,greek,constellation,search,wikistatus,ra1,ra2,ra3,dec1,dec2,dec3,ra,dec,appmag_v,class,mass,radius,text,xrefs
0,ACAMAR,,,Eridani,,,2,58,15.67525,-40,18,16.8524,0.777811453485699,-0.70344939129451,3.2,A3IV-V,,,"Bleak, white binary pair, the members of which have not spoken for five gigayears.",
1,ACHERNAR,,,Eridani,,,1,37,42.84548,-57,14,12.3101,0.426358154840281,-0.998969789607046,0.5,"B6 Vep",,,"Held by Yule to be a line-of-sight cognate of <span class=""link"" star=""0"">ACAMAR</span>, which led to the rediscovery and abandonment of Old Earth.",
2,ACRUX,,,Crucis,,,12,26,35.89522,-63,5,56.7343,3.25764942903079,-1.10128692544804,0.77,"B0.5IV + B1V",,,"A hot, blue-white binary with a characteristic Tropicália spectrum, expected to end its life in a bossa nova.",
3,ACUBENS,,,Cancri,,,8,58,29.2217,11,51,27.723,2.34959290592416,0.206955921258142,4.2,A5m,,,"A rare ""white blood star"" or stellar phage, part of the Galaxy's immune defence system. Not to be approached.",
4,ADHARA,,,"Canis Majoris",,,6,58,37.6,-28,58,19,1.82660341749553,-0.505655821260435,1.51,B,,,"Blue star with high ultraviolet emissions, sacred to dinosaurs.",
5,ADHIL,,,Andromedae,,,1,22,20.41924,45,31,43.6003,0.359277425695316,0.79462707808549,4.9,"K0 IIIb",,,"Orange giant, its appearance was compared by Herschel to that of ""a giant Orange"".",
6,AIN,,,Tauri,,,4,28,37,19,10,49.5,1.17206131476636,0.334761422737729,3.53,K0III,,,"Mature, unblinking star with the disquieting property of seeming to ""follow"" the observer around the Galaxy.",
7,"AL BALI",,,Aquarii,,,20,47,40.5526,-9,29,44.7877,5.44401301138501,-0.16573252762785,3.77,"A1 V",,,"White star surrounded by a disk of debris, suggesting the hypothesis that it is inhabited by five-year-olds.",
8,"AL HURR",,,Aurigae,,,5,19,8.4742,40,5,56.5826,1.39251633967995,0.699860462026988,4.71,"G1 V",,,"This G-type star's spectrum shows enhanced levels of manganese, zinc, thiamine and soluble fibre.",
9,"AL KALB AL RAI",,,Cephei,,,22,29,52.9,78,49,27,5.88996989891048,1.3757412384741,5.5,"A3 V",,,"Pretentious A-class star, though to have been moved into line with ρ¹ Cephei as part of a real-estate scam.",
10,"AL KALBAIN",,,Tauri,,,4,25,22.1,22,17,38,1.15788778679912,0.389101764184891,4.21,A,,,"Capital star of the Hyades cluster, esteemed for its cultured and diligent bureaubots.",
11,"AL KURUD",,,Columbae,,,6,7,31.6328,-37,15,10.513,1.60363999083657,-0.650186114830183,4.993,B,,,"Chief of the Apes, a group of stars in the process of budding from a common ancestor.",
