id,name,designation,greek,constellation,search,wikistatus,ra1,ra2,ra3,dec1,dec2,dec3,ra,dec,appmag_v,class,mass,radius,text,xrefs
1,ACAMAR,,,Eridani,,,2,58,15.67525,-40,18,16.8524,0.7778114535,-0.7034493913,3.2,A3IV-V,,,"Bleak, white binary pair, the members of which have not spoken for five gigayears.",
2,ACHERNAR,,,Eridani,,,1,37,42.84548,-57,14,12.3101,0.4263581548,-0.9989697896,0.5,B6 Vep,,,"Held by Yule to be a line-of-sight cognate of ACAMAR, which led to the rediscovery and abandonment of Old Earth.",ACAMAR
3,ACRUX,,,Crucis,,,12,26,35.89522,-63,5,56.7343,3.257649429,-1.1012869254,0.77,B0.5IV + B1V,,,"A hot, blue-white binary with a characteristic Tropicália spectrum, expected to end its life in a bossa nova.",A 
4,ACUBENS,,,Cancri,,,8,58,29.2217,11,51,27.723,2.3495929059,0.2069559213,4.2,A5m,,,"A rare ""white blood star"" or stellar phage, part of the Galaxy's immune defence system. Not to be approached.",A 
5,ADHARA,,,Canis Majoris,,,6,58,37.6,-28,58,19,1.8266034175,-0.5056558213,1.51,B,,,"Blue star with high ultraviolet emissions, sacred to dinosaurs.",
6,ADHIL,,,Andromedae,,,1,22,20.41924,45,31,43.6003,0.3592774257,0.7946270781,4.9,K0 IIIb,,,"Orange giant, its appearance was compared by Herschel to that of ""a giant Orange"".",
7,AIN,,,Tauri,,,4,28,37,19,10,49.5,1.1720613148,0.3347614227,3.53,K0III,,,"Mature, unblinking star with the disquieting property of seeming to ""follow"" the observer around the Galaxy.",
8,AL BALI,,,Aquarii,,,20,47,40.5526,-9,29,44.7877,5.4440130114,-0.1657325276,3.77,A1 V,,,"White star surrounded by a disk of debris, suggesting the hypothesis that it is inhabited by five-year-olds.",
9,AL HURR,,,Aurigae,,,5,19,8.4742,40,5,56.5826,1.3925163397,0.699860462,4.71,G1 V,,,"This G-type star's spectrum shows enhanced levels of manganese, zinc, thiamine and soluble fibre.",
10,AL KALB AL RAI,,,Cephei,,,22,29,52.9,78,49,27,5.8899698989,1.3757412385,5.5,A3 V,,,"Pretentious A-class star, though to have been moved into line with ρ¹ Cephei as part of a real-estate scam.",
