id,name,designation,greek,constellation,search,wikistatus,ra,dec,appmag_v,class,mass,radius
1,ACAMAR,,,Eridani,"Theta Eridani",cache,0.777811453485699,-0.70344939129451,3.2,A3IV-V,2.6,
2,ACHERNAR,,,Eridani,"Alpha Eridani",cache,0.426358154840281,-0.998969789607046,0.445,"B6 Vep","6–8",
3,ACRUX,,,Crucis,"Alpha Crucis",cache,3.25764942903079,-1.10128692544804,0.77,"B0.5IV + B1V","14 / 10 ",
4,ACUBENS,,,Cancri,"Alpha Cancri",cache,2.34959290592416,0.206955921258142,"4.20 to 4.27",A5m,2,
5,ADHARA,,,"Canis Majoris","Epsilon Canis Majoris",cache,1.82660341749553,-0.505655821260435,1.50,"B2 II
 ","12.6 ± 1.0",
6,ADHIL,,,Andromedae,"Xi Andromedae",cache,0.359277425695316,0.79462707808549,+4.90,"K0 IIIb",2.5,
7,AIN,,,Tauri,"Epsilon Tauri",cache,1.17206131476636,0.334761422737729,+3.53,K0III,"2.7 ± 0.1",
8,"AL BALI",,,Aquarii,"Epsilon Aquarii",cache,5.44401301138501,-0.16573252762785,3.77,"A1 V"," ",
9,"AL HURR",,,Aurigae,"Lambda Aurigae",cache,1.39251633967995,0.699860462026988,4.71,"G1 V",1.081{{+-,
10,"AL KALB AL RAI",,,Cephei,"Rho2 Cephei",cache,5.88996989891048,1.3757412384741,5.50,"A3 V",,
11,"AL KALBAIN",,,Tauri,"Kappa Tauri",cache,1.15788778679912,0.389101764184891,"+4.21 ",,,
12,"AL KURUD",,,Columbae,"Theta Columbae",cache,1.60363999083657,0.650186114830183,"4.993 ",,,
13,"AL MAAZ",,,Aurigae,"Epsilon Aurigae",cache,1.3175877731872,0.764860999655975,2.98,"F0 Iab (or II-III",2.2-15,
14,"AL MINCHIR AL ASAD",,,Leonis,"Kappa Leonis",cache,2.46376924763021,0.456967762532814,4.473,K2III,,
15,"AL NAIR",,,Gruis,"Alpha Gruis",cache,5.79551011488577,-0.819623623030843,+1.74,"B6 V",4.0,
16,"AL NASL",,,Sagittarii,"Gamma Sagittarii",cache,4.73773175017227,-0.531000539999013,+2.98,"K1 III",,
17,"AL NIYAT",,,Scorpii,"Sigma Scorpii",cache,4.28124289216901,-0.446678486632506,+2.88,"B1 III","18.4 ± 5.4,",
18,"AL RISCHA",,,Piscium,"Alpha Piscium",cache,0.532530477683205,0.0482367359756025,3.82,,,
19,"AL SHARAS",,,Crateris,"Beta Crateris",cache,2.93066234128106,0.398385946178139,"4.48 ",,,
20,"AL SUHAIL AL MUHLIF",,,Velorum,"Lambda Velorum",cache,2.39108346704174,-0.758041714167615,2.21,"K4.5 Ib-II","8.5 ± 0.3",
21,"AL THALIMAIN POSTERIOR",,,Aquilae,"Iota Aquilae",cache,5.13441512475621,-0.0224554114891095,4.364,"B5 III","4.8 ± 0.3",
22,"AL THALIMAIN PRIOR",,,Aquilae,"Lambda Aquilae",cache,5.00145470024663,-0.0852166737496811,3.43,B9Vn,3.1{{+-,
23,ALAMAK,,,Andromedae,"Gamma Andromedae",cache,0.540612325140997,0.73879306786562,2.26,K3IIb,,
24,ALATHFAR,,,Lyrae,"Mu Lyrae",cache,,,,,,
25,ALBIREO,,,Cygni,"Beta Cygni",cache,5.10838930873033,0.488086149216341,5.09,B8Ve,3.3,
26,ALCHIBA,,,Corvi,"Alpha Corvi",cache,3.17830274552341,-0.431600531470953,4.00,"F2 IV",1.2,
27,ALCOR,,,"Ursae Majoris","80 Ursae Majoris",cache,3.50778454727385,0.958626939794697,"2.23 ","A2 V/A2 V/A1 V ",,
28,ALCYONE,,,Tauri,"Eta Tauri",cache,0.992588853256599,0.420714011172818,2.873,B7IIIe,6,
29,ALDAFAR,,,Lyrae,"Eta Lyrae",cache,,,,,,
30,ALDEBARAN,,,Tauri,"Alpha Tauri",cache,1.20393095418572,0.288141690680868,0.75-0.95,K5III,1.7,
31,ALDERAMIN,,,Cephei,"Alpha Cephei",cache,5.57885561495879,1.09232430437062,2.5141,A7IV-V,1.74,
32,ALDHAFERA,,,Leonis,"Zeta Leonis",cache,2.69081890240213,0.408709191033828,3.33,"F0 III",3,
33,ALDHANAB,,,Gruis,"Gamma Gruis",cache,5.73309579329482,-0.652139749128403,3.003,"B8 III"," ",
34,ALDIBAIN,,,Draconis,"Eta Draconis",cache,4.29347257640791,1.07362556865232,+2.73,"G8 III",2.55,
35,ALFIRK,,,Cephei,"Beta Cephei",cache,5.62283977379358,1.2315168187039,3.1438,B2IIIev,12,
36,ALGENIB,,,Pegasi,"Gamma Pegasi",cache,0.0577523071760949,0.265003699829037,+2.84,"B2 IV","8.9 ± 0.1",
37,ALGIEBA,,,Leonis,"Gamma Leonis",cache,2.70514038992949,0.346299245613577,"1.98 (2.28/3.51)
 ","K0 IIIb",1.23,
38,ALGOL,,,Persei,"Beta Persei",cache,0.821041531908859,0.714810901009321,2.12,"B8V (A)","3.59/0.79/1.67
 ",
39,ALGORAB,,,Corvi,"Delta Corvi",cache,3.27190003873722,-0.288248652699263,+2.962,"A0 IV(n) kB9",2.74{{+-,
40,ALHENA,,,Geminorum,"Gamma Geminorum",cache,1.73534527781343,0.286221438228661,1.915,"A1 IV",2.81,
41,ALIOTH,,,"Ursae Majoris","Epsilon Ursae Majoris",cache,3.37733933638428,0.976683159698437,1.77,"A0pCr
 ",2.91,
42,ALKAFZAH,,,"Ursae Majoris","Chi Ursae Majoris",cache,3.08072429592649,0.833908620329268,+3.69,,,
43,ALKALUROPS,,,Boötis,"Mu Boötis",cache,4.03385062211364,0.652354623400007,4.31,F0V,1.7,
44,ALKES,,,Crateris,"Alpha Crateris",cache,2.87880895099795,-0.31937401827573,4.07,"K1 III",2.5,
45,ALKURAH,,,Cephei,"Xi Cephei",cache,5.77612352624393,1.12797095264658,4.29,,,
46,ALNILAM,,,Orionis,"Epsilon Orionis",cache,1.46700741394297,0.0209774031679285,"1.70 ","B0 Ia"," ",
